Titulo/Contrato;Vencimento do Titulo/Contrato;Valor do Estoque;Quantidade do Estoque;Mes do Estoque;Classe da Carteira;Tipo de Divida
TDAE120255;01/02/2024;1079854,80;10680,00;06/2018;Mercado;Dívida Interna
TDAE120438;01/04/2022;48253,02;482,00;06/2018;Mercado;Dívida Interna
TDAE980878;01/08/2018;170144,00;1636,00;06/2018;Mercado;Dívida Interna
TDA24090300;01/09/2024;17089,28;169,00;06/2018;Mercado;Dívida Interna
LFT 010323;01/03/2023;134257731913,73;14044631,71;06/2018;Mercado;Dívida Interna
NTN-B Principal 150545;15/05/2045;991451303,24;1287523,26;06/2018;Mercado;Dívida Interna
TDA32050200;01/05/2032;129914,24;1312,00;06/2018;Mercado;Dívida Interna
TDA35050200;01/05/2035;130336,64;1316,00;06/2018;Mercado;Dívida Interna
TDA25050200;01/05/2025;129874,88;1312,00;06/2018;Mercado;Dívida Interna
TDA31050300;01/05/2031;292202,90;2945,00;06/2018;Mercado;Dívida Interna
TDA30050200;01/05/2030;129914,24;1312,00;06/2018;Mercado;Dívida Interna
TDAD05J418;01/10/2025;150781,36;1516,00;07/2018;Mercado;Dívida Interna
TDAD05K412;01/11/2019;1666198,85;16771,00;07/2018;Mercado;Dívida Interna
TDAD05K413;01/11/2020;1719623,52;17307,00;07/2018;Mercado;Dívida Interna
TDAD05L238;01/12/2020;982864,89;9771,00;07/2018;Mercado;Dívida Interna
TDAD11G417;01/07/2030;1751825,00;17740,00;07/2018;Mercado;Dívida Interna
TDAD11L331;01/12/2020;563061,96;5634,00;07/2018;Mercado;Dívida Interna
TDAD12D232;01/04/2021;1923961,06;19313,00;07/2018;Mercado;Dívida Interna
TDA27120300;01/12/2027;5456639,10;54214,00;07/2018;Mercado;Dívida Interna
TDA24070200;01/07/2024;18977,28;192,00;07/2018;Mercado;Dívida Interna
TDA25060300;01/06/2025;21916,57;221,00;07/2018;Mercado;Dívida Interna
TDA19070200;01/07/2019;18969,60;192,00;07/2018;Mercado;Dívida Interna
TDA24030300;01/03/2024;502847,03;5033,00;07/2018;Mercado;Dívida Interna
TDA25040300;01/04/2025;85300,40;856,00;07/2018;Mercado;Dívida Interna
TDA25120200;01/12/2025;1408295,50;14090,00;07/2018;Mercado;Dívida Interna
TDAD03K418;01/11/2023;74694,46;751,00;08/2018;Mercado;Dívida Interna
TDAD03L337;01/12/2018;1247370,60;12460,00;08/2018;Mercado;Dívida Interna
TDAD03L338;01/12/2019;1252651,40;12514,00;08/2018;Mercado;Dívida Interna
TDAD03L340;01/12/2021;1269047,62;12674,00;08/2018;Mercado;Dívida Interna
TDAD03L418;01/12/2023;494216,74;4973,00;08/2018;Mercado;Dívida Interna
TDAD04C418;01/03/2024;87738,90;885,00;08/2018;Mercado;Dívida Interna
TDAD04D416;01/04/2022;28427,35;287,00;08/2018;Mercado;Dívida Interna
TDAD04D417;01/04/2023;28424,48;287,00;08/2018;Mercado;Dívida Interna
TDAD04E339;01/05/2021;359005,65;3615,00;08/2018;Mercado;Dívida Interna
TDAD04F339;01/06/2021;34599,86;349,00;08/2018;Mercado;Dívida Interna
TDAD04F413;01/06/2019;1459222,33;14759,00;08/2018;Mercado;Dívida Interna
TDAD04F414;01/06/2020;1459369,92;14759,00;08/2018;Mercado;Dívida Interna
TDAD09K334;01/11/2021;282115,77;2813,00;08/2018;Mercado;Dívida Interna
TDAD09K336;01/11/2023;281843,00;2810,00;08/2018;Mercado;Dívida Interna
TDAD09K337;01/11/2024;282115,77;2813,00;08/2018;Mercado;Dívida Interna
TDAD10A232;01/01/2019;12073,20;120,00;08/2018;Mercado;Dívida Interna
TDAD10A237;01/01/2024;11575,90;115,00;08/2018;Mercado;Dívida Interna
TDAD10C235;01/03/2022;1553672,10;15515,00;08/2018;Mercado;Dívida Interna
TDAD12C330;01/03/2020;3187,84;32,00;08/2018;Mercado;Dívida Interna
TDAD12C334;01/03/2024;3189,12;32,00;08/2018;Mercado;Dívida Interna
TDAD12C339;01/03/2029;3189,76;32,00;08/2018;Mercado;Dívida Interna
TDAD12K235;01/11/2024;1934819,16;19132,00;08/2018;Mercado;Dívida Interna
TDAD12K238;01/11/2027;1959561,73;19369,00;08/2018;Mercado;Dívida Interna
TDAD06C339;01/03/2023;990490,64;10009,00;04/2018;Mercado;Dívida Interna
TDAD06E334;01/05/2018;501642,33;4987,00;04/2018;Mercado;Dívida Interna
TDAD06F235;01/06/2018;1832068,24;18082,00;04/2018;Mercado;Dívida Interna
TDAD06F238;01/06/2021;1685551,85;16631,00;04/2018;Mercado;Dívida Interna
TDAD06F336;01/06/2020;832647,60;8290,00;04/2018;Mercado;Dívida Interna
TDAD06F412;01/06/2020;40707,77;409,00;04/2018;Mercado;Dívida Interna
TDAD06F416;01/06/2024;40711,86;409,00;04/2018;Mercado;Dívida Interna
TDAD06F418;01/06/2026;41508,18;417,00;04/2018;Mercado;Dívida Interna
TDAD12F235;01/06/2024;228510,52;2254,00;04/2018;Mercado;Dívida Interna
TDAD12H234;01/08/2023;1401449,70;13895,00;04/2018;Mercado;Dívida Interna
TDAD12J231;01/10/2020;1121677,92;11181,00;04/2018;Mercado;Dívida Interna
TDAD12J234;01/10/2023;1120106,70;11162,00;04/2018;Mercado;Dívida Interna
TDAD12J236;01/10/2025;1122236,97;11181,00;04/2018;Mercado;Dívida Interna
TDA23120200;01/12/2023;1401391,40;14090,00;04/2018;Mercado;Dívida Interna
TDA25070300;01/07/2025;1603170,14;15851,00;04/2018;Mercado;Dívida Interna
NTN-I 150225;15/02/2025;2233262,22;648001,00;04/2018;Mercado;Dívida Interna
TDAD04C418;01/03/2024;87517,65;885,00;05/2018;Mercado;Dívida Interna
TDAD04D337;01/04/2019;574718,79;5807,00;05/2018;Mercado;Dívida Interna
TDAD04F338;01/06/2020;35112,89;349,00;05/2018;Mercado;Dívida Interna
TDAD04F340;01/06/2022;48398,22;481,00;05/2018;Mercado;Dívida Interna
TDAD04F413;01/06/2019;1470143,99;14759,00;05/2018;Mercado;Dívida Interna
TDAD04F418;01/06/2024;1475321,04;14808,00;05/2018;Mercado;Dívida Interna
TDAD04G337;01/07/2019;157003,35;1563,00;05/2018;Mercado;Dívida Interna
TDAD04G412;01/07/2018;154056,96;1548,00;05/2018;Mercado;Dívida Interna
TDAD04G416;01/07/2022;154087,92;1548,00;05/2018;Mercado;Dívida Interna
TDAD09I339;01/09/2026;577850,23;5771,00;05/2018;Mercado;Dívida Interna
TDAD09I415;01/09/2026;220524,22;2219,00;05/2018;Mercado;Dívida Interna
TDAD09J232;01/10/2018;15789,49;157,00;05/2018;Mercado;Dívida Interna
TDAD09K232;01/11/2018;287388,15;2865,00;05/2018;Mercado;Dívida Interna
TDAD09K234;01/11/2020;287474,10;2865,00;05/2018;Mercado;Dívida Interna
TDAD09K238;01/11/2024;290212,20;2892,00;05/2018;Mercado;Dívida Interna
TDAD13F236;01/06/2026;393550,08;3872,00;05/2018;Mercado;Dívida Interna
TDAD13G237;01/07/2027;33360,60;329,00;05/2018;Mercado;Dívida Interna
TDAD12I238;01/09/2027;185820,96;1842,00;05/2018;Mercado;Dívida Interna
TDAD09J418;01/10/2029;257014,28;2588,00;05/2018;Mercado;Dívida Interna
NTN-I 150519;15/05/2019;49126965,32;7976291,00;06/2018;Mercado;Dívida Interna
NTN-I 150526;15/05/2026;1944374,18;550955,00;06/2018;Mercado;Dívida Interna
NTN-I 150525;15/05/2025;3686620,47;961050,00;06/2018;Mercado;Dívida Interna
NTN-I 150529;15/05/2029;394795,22;143896,00;06/2018;Mercado;Dívida Interna
NTN-I 150530;15/05/2030;289071,89;114748,00;06/2018;Mercado;Dívida Interna
NTN-I 150620;15/06/2020;25908706,37;4568689,00;06/2018;Mercado;Dívida Interna
NTN-I 150327;15/03/2027;1139301,40;392090,00;04/2018;Mercado;Dívida Interna
NTN-I 150328;15/03/2028;780420,90;292409,00;04/2018;Mercado;Dívida Interna
NTN-I 150334;15/03/2034;116200,88;73305,00;04/2018;Mercado;Dívida Interna
NTN-I 150925;15/09/2025;2393826,72;727860,00;04/2018;Mercado;Dívida Interna
NTN-I 150935;15/09/2035;49855,77;35955,00;04/2018;Mercado;Dívida Interna
TDAD08B236;01/02/2021;60200,04;606,00;04/2018;Mercado;Dívida Interna
TDAD08D413;01/04/2023;214891,67;2177,00;04/2018;Mercado;Dívida Interna
TDAD08D414;01/04/2024;214935,21;2177,00;04/2018;Mercado;Dívida Interna
TDAD08E233;01/05/2018;415380,40;4090,00;04/2018;Mercado;Dívida Interna
TDAD08E237;01/05/2022;394754,85;3885,00;04/2018;Mercado;Dívida Interna
HCFIBB0136;01/01/2036;3287130,82;1219811,00;08/2020;Mercado;Dívida Interna
HSTN A828;15/12/2020;192186,68;4,00;08/2020;Mercado;Dívida Interna
HSTN A831;15/03/2021;192446,16;4,00;08/2020;Mercado;Dívida Interna
HSTN A836;15/08/2021;144204,87;3,00;08/2020;Mercado;Dívida Interna
TDAD09I338;01/09/2025;580562,60;5771,00;08/2020;Mercado;Dívida Interna
TDAD09I340;01/09/2027;583077,60;5796,00;08/2020;Mercado;Dívida Interna
TDAD09I413;01/09/2024;221034,59;2219,00;08/2020;Mercado;Dívida Interna
TDAD09I418;01/09/2029;224520,94;2254,00;08/2020;Mercado;Dívida Interna
TDAD09I416;01/09/2027;221034,59;2219,00;08/2020;Mercado;Dívida Interna
TDAD09K338;01/11/2025;282059,51;2813,00;08/2020;Mercado;Dívida Interna
TDAD10A234;01/01/2021;12474,40;124,00;08/2020;Mercado;Dívida Interna
TDA25110300;01/11/2025;303371,09;3001,00;08/2020;Mercado;Dívida Interna
TDA16050600;01/05/2016;8588,06;67,00;08/2020;Mercado;Dívida Interna
TDA23110300;01/11/2023;766767,65;7585,00;08/2020;Mercado;Dívida Interna
TDA26030300;01/03/2026;456856,40;4564,00;08/2020;Mercado;Dívida Interna
TDA29030100;01/03/2029;1799325,36;18153,00;08/2020;Mercado;Dívida Interna
TDAD06G417;01/07/2025;1480083,90;14970,00;09/2020;Mercado;Dívida Interna
TDAD06H414;01/08/2022;58780,05;595,00;09/2020;Mercado;Dívida Interna
TDAD06H417;01/08/2025;58780,05;595,00;09/2020;Mercado;Dívida Interna
TDAD06I238;01/09/2021;1602619,46;16211,00;09/2020;Mercado;Dívida Interna
TDAD06I338;01/09/2022;1941520,90;19655,00;09/2020;Mercado;Dívida Interna
TDAD06J237;01/10/2020;1740370,14;17133,00;09/2020;Mercado;Dívida Interna
TDAD06J340;01/10/2024;772832,97;7683,00;09/2020;Mercado;Dívida Interna
TDAD06K414;01/11/2022;465601,34;4678,00;09/2020;Mercado;Dívida Interna
TDAD12L235;01/12/2024;2723196,28;26941,00;09/2020;Mercado;Dívida Interna
TDAD12L237;01/12/2026;2731788,08;27026,00;09/2020;Mercado;Dívida Interna
TDAD12L238;01/12/2027;2724712,48;26956,00;09/2020;Mercado;Dívida Interna
TDAD12K336;01/11/2026;412767,30;4110,00;09/2020;Mercado;Dívida Interna
TDAD12I232;01/09/2021;181803,54;1839,00;09/2020;Mercado;Dívida Interna
TDAD12I234;01/09/2023;181803,54;1839,00;09/2020;Mercado;Dívida Interna
NTN-I 151135;15/11/2035;90885,15;8473,00;10/2020;Mercado;Dívida Interna
NTN-I 150324;15/03/2024;25082671,40;2338396,00;10/2020;Mercado;Dívida Interna
NTN-I 150929;15/09/2029;3021338,65;281672,00;10/2020;Mercado;Dívida Interna
NTN-I 150928;15/09/2028;4268191,11;397913,00;10/2020;Mercado;Dívida Interna
TDAD12F237;01/06/2026;225084,44;2254,00;10/2020;Mercado;Dívida Interna
TDAD12H237;01/08/2026;1395014,40;14040,00;10/2020;Mercado;Dívida Interna
TDAD12J332;01/10/2022;292517,19;2961,00;10/2020;Mercado;Dívida Interna
TDAD12J413;01/10/2027;711995,23;7213,00;10/2020;Mercado;Dívida Interna
TDAD12J410;01/10/2024;711995,23;7213,00;10/2020;Mercado;Dívida Interna
TDAD12J411;01/10/2025;711995,23;7213,00;10/2020;Mercado;Dívida Interna
TDAD12J418;01/10/2032;713969,43;7233,00;10/2020;Mercado;Dívida Interna
TDA25010300;01/01/2025;124542,88;1232,00;10/2020;Mercado;Dívida Interna
TDA23010300;01/01/2023;124542,88;1232,00;10/2020;Mercado;Dívida Interna
TDA29010300;01/01/2029;7278,48;72,00;10/2020;Mercado;Dívida Interna
NTN-F 010131;01/01/2031;15352396975,12;12585850,58;10/2020;Mercado;Dívida Interna
LTN 011022;01/10/2022;42284705811,26;45651097,00;10/2020;Mercado;Dívida Interna
TDAD09I414;01/09/2025;219392,53;2219,00;11/2020;Mercado;Dívida Interna
TDAD09J236;01/10/2022;15560,27;157,00;11/2020;Mercado;Dívida Interna
TDAD09K335;01/11/2022;277077,90;2805,00;11/2020;Mercado;Dívida Interna
TDAD09K336;01/11/2023;277571,80;2810,00;11/2020;Mercado;Dívida Interna
TDAD09K337;01/11/2024;277868,14;2813,00;11/2020;Mercado;Dívida Interna
TDAD10A234;01/01/2021;12564,92;124,00;11/2020;Mercado;Dívida Interna
TDAD10C334;01/03/2022;106806,70;1067,00;11/2020;Mercado;Dívida Interna
TDA27100200;01/10/2027;570347,80;5764,00;11/2020;Mercado;Dívida Interna
TDA22030100;01/03/2022;1813618,08;18253,00;11/2020;Mercado;Dívida Interna
TDA29030100;01/03/2029;1803682,08;18153,00;11/2020;Mercado;Dívida Interna
TDA27030100;01/03/2027;1841836,32;18537,00;11/2020;Mercado;Dívida Interna
NTN-B 150555;15/05/2055;44591903131,80;12660000,00;11/2020;Banco Central;Dívida Interna
LTN 010121;01/01/2021;1129036666,88;1140527,29;11/2020;Mercado;Dívida Interna
TDA30070300;01/07/2030;647527,25;6485,00;11/2020;Mercado;Dívida Interna
TDA22120600;01/12/2022;2591821,35;24795,00;11/2020;Mercado;Dívida Interna
TDA20120600;01/12/2020;18124665,76;173392,00;11/2020;Mercado;Dívida Interna
TDAD07F238;01/06/2022;2097315,00;20900,00;12/2020;Mercado;Dívida Interna
TDAD07F340;01/06/2025;1003886,58;10061,00;12/2020;Mercado;Dívida Interna
TDAD07H414;01/08/2023;183818,24;1856,00;12/2020;Mercado;Dívida Interna
TDAD07H416;01/08/2025;183818,24;1856,00;12/2020;Mercado;Dívida Interna
TDAD07H417;01/08/2026;183818,24;1856,00;12/2020;Mercado;Dívida Interna
TDAD07K339;01/11/2024;941014,50;9510,00;12/2020;Mercado;Dívida Interna
TDAD07L238;01/12/2022;1809914,22;18306,00;12/2020;Mercado;Dívida Interna
TDAD13L236;01/12/2026;1096072,82;11086,00;12/2020;Mercado;Dívida Interna
TDAD13L331;01/12/2022;780539,79;7901,00;12/2020;Mercado;Dívida Interna
TDAD13L339;01/12/2030;780539,79;7901,00;12/2020;Mercado;Dívida Interna
NTN-I 151226;15/12/2026;5139721,27;529028,00;12/2020;Mercado;Dívida Interna
TDAD06J414;01/10/2022;1005727,80;10164,00;01/2021;Mercado;Dívida Interna
TDAD06K337;01/11/2021;1138888,80;11490,00;01/2021;Mercado;Dívida Interna
TDAD06K338;01/11/2022;1138888,80;11490,00;01/2021;Mercado;Dívida Interna
TDAD06K414;01/11/2022;462513,86;4678,00;01/2021;Mercado;Dívida Interna
TDAD06K417;01/11/2025;462513,86;4678,00;01/2021;Mercado;Dívida Interna
NTN-I 150820;15/08/2020;32465454,95;5806737,00;06/2018;Mercado;Dívida Interna
NTN-I 150821;15/08/2021;21067322,71;4069369,00;06/2018;Mercado;Dívida Interna
NTN-I 151020;15/10/2020;30377644,64;5501284,00;06/2018;Mercado;Dívida Interna
NTN-I 151120;15/11/2020;28475010,90;5190116,00;06/2018;Mercado;Dívida Interna
TDAD07I340;01/09/2025;115044,10;1147,00;06/2018;Mercado;Dívida Interna
TDAD07K333;01/11/2018;950144,10;9510,00;06/2018;Mercado;Dívida Interna
TDAD07L333;01/12/2018;1178065,84;11809,00;06/2018;Mercado;Dívida Interna
TDAD07L412;01/12/2021;177585,90;1790,00;06/2018;Mercado;Dívida Interna
TDAH080955;01/09/2020;56734,44;548,00;06/2018;Mercado;Dívida Interna
TDAH090837;01/08/2018;70096,00;674,00;06/2018;Mercado;Dívida Interna
TDAJ10FC18;01/06/2020;402837,12;4074,00;06/2018;Mercado;Dívida Interna
LTN 010721;01/07/2021;31360453784,23;40999591,00;06/2018;Banco Central;Dívida Interna
LFT 010923;01/09/2023;19150247806,00;2000000,00;06/2018;Banco Central;Dívida Interna
TDA31120300;01/12/2031;410156,12;4084,00;06/2018;Mercado;Dívida Interna
HCFIBB0134;01/01/2034;16887,73;6020,00;07/2018;Mercado;Dívida Interna
TDAD06B414;01/02/2022;1165533,60;11760,00;07/2018;Mercado;Dívida Interna
TDAD06B415;01/02/2023;1359629,04;13717,00;07/2018;Mercado;Dívida Interna
TDAD06B417;01/02/2025;1403638,32;14161,00;07/2018;Mercado;Dívida Interna
TDAD06C236;01/03/2019;271464,96;2719,00;07/2018;Mercado;Dívida Interna
TDAD06C336;01/03/2020;893757,15;8987,00;07/2018;Mercado;Dívida Interna
TDAD06C339;01/03/2023;995595,23;10009,00;07/2018;Mercado;Dívida Interna
TDAD06F414;01/06/2022;40409,20;409,00;07/2018;Mercado;Dívida Interna
TDAD12D405;01/04/2019;18008,90;182,00;07/2018;Mercado;Dívida Interna
TDAD12D409;01/04/2023;18010,72;182,00;07/2018;Mercado;Dívida Interna
TDAD12F233;01/06/2022;223461,56;2254,00;07/2018;Mercado;Dívida Interna
TDAD12H230;01/08/2019;1432825,36;14104,00;07/2018;Mercado;Dívida Interna
TDA25100300;01/10/2025;469601,28;4644,00;07/2018;Mercado;Dívida Interna
TDA24040300;01/04/2024;84420,49;847,00;07/2018;Mercado;Dívida Interna
TDA20030300;01/03/2020;519272,00;5200,00;07/2018;Mercado;Dívida Interna
TDA19070300;01/07/2019;1567663,90;15851,00;07/2018;Mercado;Dívida Interna
TDA22070300;01/07/2022;1567505,39;15851,00;07/2018;Mercado;Dívida Interna
TDA18080600;01/08/2018;3352889,82;32082,00;07/2018;Mercado;Dívida Interna
NTN-I 150228;15/02/2028;241748,81;81631,00;07/2018;Mercado;Dívida Interna
TDA25110300;01/11/2025;619824,10;6146,00;07/2018;Mercado;Dívida Interna
TDA29080300;01/08/2029;1853465,12;18232,00;07/2018;Mercado;Dívida Interna
TDA20110300;01/11/2020;1420032,44;13898,00;07/2018;Mercado;Dívida Interna
TDAD04H337;01/08/2019;51277,20;519,00;08/2018;Mercado;Dívida Interna
TDAD04H417;01/08/2023;2612691,99;26463,00;08/2018;Mercado;Dívida Interna
TDAD04I237;01/09/2018;1577023,68;15528,00;08/2018;Mercado;Dívida Interna
TDAD04I340;01/09/2022;1085589,18;10789,00;08/2018;Mercado;Dívida Interna
TDAD04J339;01/10/2021;18782,28;187,00;08/2018;Mercado;Dívida Interna
TDAD10C334;01/03/2022;106315,88;1067,00;08/2018;Mercado;Dívida Interna
TDAD10C338;01/03/2026;106326,55;1067,00;08/2018;Mercado;Dívida Interna
TDAD10C409;01/03/2021;555227,13;5601,00;08/2018;Mercado;Dívida Interna
TDAD10C416;01/03/2028;555339,15;5601,00;08/2018;Mercado;Dívida Interna
TDAD10D331;01/04/2019;727623,05;7315,00;08/2018;Mercado;Dívida Interna
TDAD10F236;01/06/2023;8848,38;89,00;08/2018;Mercado;Dívida Interna
NTN-I 150124;15/01/2024;7088824,35;1879264,00;04/2018;Mercado;Dívida Interna
NTN-I 150223;15/02/2023;7299127,50;1801129,00;04/2018;Mercado;Dívida Interna
NTN-I 150723;15/07/2023;8741474,12;2227525,00;04/2018;Mercado;Dívida Interna
NTN-I 150728;15/07/2028;746142,87;287609,00;04/2018;Mercado;Dívida Interna
NTN-I 150729;15/07/2029;541761,02;227187,00;04/2018;Mercado;Dívida Interna
NTN-I 150134;15/01/2034;136475,03;84903,00;04/2018;Mercado;Dívida Interna
NTN-P 010125-010109;01/01/2025;915928,97;489150,00;04/2018;Mercado;Dívida Interna
NTN-P 010127-010111;01/01/2027;783949,62;476902,00;04/2018;Mercado;Dívida Interna
TDAD06G339;01/07/2023;382768,76;3817,00;04/2018;Mercado;Dívida Interna
TDAD06G340;01/07/2024;382983,58;3818,00;04/2018;Mercado;Dívida Interna
TDAD06G412;01/07/2020;1488766,50;14970,00;04/2018;Mercado;Dívida Interna
TDAD06H410;01/08/2018;59113,25;595,00;04/2018;Mercado;Dívida Interna
TDAD06H416;01/08/2024;59125,15;595,00;04/2018;Mercado;Dívida Interna
TDAD06I337;01/09/2021;1971818,76;19732,00;04/2018;Mercado;Dívida Interna
TDAD12J416;01/10/2030;715673,86;7213,00;04/2018;Mercado;Dívida Interna
TDAE041273;01/12/2019;594385,00;5885,00;04/2018;Mercado;Dívida Interna
TDAE041278;01/12/2024;595260,12;5889,00;04/2018;Mercado;Dívida Interna
TDAE050457;01/04/2019;17942,53;181,00;04/2018;Mercado;Dívida Interna
TDAE050758;01/07/2020;26198,15;253,00;04/2018;Mercado;Dívida Interna
TDAE050777;01/07/2024;60318,48;582,00;04/2018;Mercado;Dívida Interna
TDA23110300;01/11/2023;1074180,30;10730,00;04/2018;Mercado;Dívida Interna
TDA30100200;01/10/2030;575362,48;5764,00;04/2018;Mercado;Dívida Interna
TDA26030100;01/03/2026;1900121,60;19232,00;04/2018;Mercado;Dívida Interna
TDA20030100;01/03/2020;1899736,96;19232,00;04/2018;Mercado;Dívida Interna
TDA19030100;01/03/2019;1899736,96;19232,00;04/2018;Mercado;Dívida Interna
TDA15100600;01/10/2015;2047803,68;15976,00;04/2018;Mercado;Dívida Interna
TDAD04H414;01/08/2020;2474166,64;24881,00;05/2018;Mercado;Dívida Interna
TDAD04H416;01/08/2022;2652828,75;26675,00;05/2018;Mercado;Dívida Interna
TDAD04I237;01/09/2018;1565067,12;15528,00;05/2018;Mercado;Dívida Interna
TDAD04I336;01/09/2018;1266485,92;12656,00;05/2018;Mercado;Dívida Interna
TDAD04J337;01/10/2019;18686,91;187,00;05/2018;Mercado;Dívida Interna
TDAD04L237;01/12/2018;4247595,36;42442,00;05/2018;Mercado;Dívida Interna
TDAD04L412;01/12/2018;260659,30;2630,00;05/2018;Mercado;Dívida Interna
TDAD04L418;01/12/2024;277734,24;2802,00;05/2018;Mercado;Dívida Interna
TDAD10C232;01/03/2019;1546879,50;15570,00;05/2018;Mercado;Dívida Interna
TDAD10C333;01/03/2021;105782,38;1067,00;05/2018;Mercado;Dívida Interna
TDAD10C410;01/03/2022;553770,87;5601,00;05/2018;Mercado;Dívida Interna
TDAD10C417;01/03/2029;553938,90;5601,00;05/2018;Mercado;Dívida Interna
TDAH071275;01/12/2024;308965,60;3041,00;05/2018;Mercado;Dívida Interna
TDAJ12HC16;01/08/2020;69745,20;690,00;05/2018;Mercado;Dívida Interna
TDAD13H235;01/08/2025;24170,07;239,00;05/2018;Mercado;Dívida Interna
TDAD13H237;01/08/2027;24172,46;239,00;05/2018;Mercado;Dívida Interna
NTN-I 151127;15/11/2027;775023,70;249008,00;06/2018;Mercado;Dívida Interna
NTN-I 151134;15/11/2034;44075,92;26031,00;06/2018;Mercado;Dívida Interna
NTN-I 151220;15/12/2020;22476962,99;4123422,00;06/2018;Mercado;Dívida Interna
NTN-I 151219;15/12/2019;32366055,04;5502712,00;06/2018;Mercado;Dívida Interna
ECTN 0004;01/04/2020;373609875,60;119151,00;06/2018;Mercado;Dívida Interna
ECTN 9811;01/11/2018;1351401212,48;300256,00;06/2018;Mercado;Dívida Interna
ECTN 9907;01/07/2019;359237404,80;93120,00;06/2018;Mercado;Dívida Interna
NTN-F 010123;01/01/2023;125810539670,10;125374971,71;06/2018;Mercado;Dívida Interna
TDAD07L414;01/12/2023;163084,80;1644,00;06/2018;Mercado;Dívida Interna
TDAD07L415;01/12/2024;165085,44;1664,00;06/2018;Mercado;Dívida Interna
TDAD07L416;01/12/2025;168359,37;1697,00;06/2018;Mercado;Dívida Interna
TDAD08C235;01/03/2020;64341,60;646,00;06/2018;Mercado;Dívida Interna
TDAD08D235;01/04/2020;795694,15;8009,00;06/2018;Mercado;Dívida Interna
TDAD08D338;01/04/2024;272095,04;2744,00;06/2018;Mercado;Dívida Interna
TDAD08D339;01/04/2025;272067,60;2744,00;06/2018;Mercado;Dívida Interna
TDAD08D418;01/04/2028;215558,40;2180,00;06/2018;Mercado;Dívida Interna
TDAD08E333;01/05/2019;550075,26;5558,00;06/2018;Mercado;Dívida Interna
TDAJ10LC16;01/12/2018;144274,54;1438,00;06/2018;Mercado;Dívida Interna
TDAJ10LC18;01/12/2020;141292,80;1408,00;06/2018;Mercado;Dívida Interna
TDAJ11IC16;01/09/2019;289392,04;2863,00;06/2018;Mercado;Dívida Interna
TDAJ11LA18;01/12/2021;501605,76;5056,00;06/2018;Mercado;Dívida Interna
NTN-A3 150424;15/04/2024;14206656331,43;4025239,00;06/2018;Mercado;Dívida Interna
HSTN A822;15/06/2020;127637,68;4,00;07/2018;Mercado;Dívida Interna
HSTN A828;15/12/2020;127522,92;4,00;07/2018;Mercado;Dívida Interna
TDAD06G335;01/07/2019;377119,60;3817,00;07/2018;Mercado;Dívida Interna
TDAD06G415;01/07/2023;1477838,40;14970,00;07/2018;Mercado;Dívida Interna
TDAD06H237;01/08/2020;2038202,70;20065,00;07/2018;Mercado;Dívida Interna
TDAD06H413;01/08/2021;59267,95;595,00;07/2018;Mercado;Dívida Interna
TDAD06I238;01/09/2021;1642660,63;16211,00;07/2018;Mercado;Dívida Interna
TDAD06I335;01/09/2019;1981487,44;19732,00;07/2018;Mercado;Dívida Interna
TDAD06I338;01/09/2022;1973951,65;19655,00;07/2018;Mercado;Dívida Interna
TDAD06I339;01/09/2023;1976759,64;19681,00;07/2018;Mercado;Dívida Interna
TDAD12J333;01/10/2023;346066,28;3451,00;07/2018;Mercado;Dívida Interna
TDAD12J336;01/10/2026;300468,84;2996,00;07/2018;Mercado;Dívida Interna
TDAD12J340;01/10/2030;360285,03;3591,00;07/2018;Mercado;Dívida Interna
TDAE040777;01/07/2023;2666255,94;26883,00;07/2018;Mercado;Dívida Interna
TDA22110300;01/11/2022;1082019,65;10729,00;07/2018;Mercado;Dívida Interna
TDA19070600;01/07/2019;15877414,51;160103,00;07/2018;Mercado;Dívida Interna
TDA21030100;01/03/2021;1904929,60;19232,00;07/2018;Mercado;Dívida Interna
TDA29030100;01/03/2029;1905121,92;19232,00;07/2018;Mercado;Dívida Interna
TDA26110300;01/11/2026;536224,92;5316,00;07/2018;Mercado;Dívida Interna
TDAD04L340;01/12/2022;3760081,76;37552,00;08/2018;Mercado;Dívida Interna
TDAD04L412;01/12/2018;261316,80;2630,00;08/2018;Mercado;Dívida Interna
TDAD05B340;01/02/2023;1109964,17;11123,00;08/2018;Mercado;Dívida Interna
TDAD05B418;01/02/2025;158239,95;1595,00;08/2018;Mercado;Dívida Interna
TDAD05D336;01/04/2019;742046,20;7460,00;08/2018;Mercado;Dívida Interna
TDAD05D413;01/04/2020;109340,16;1104,00;08/2018;Mercado;Dívida Interna
TDAD05D414;01/04/2021;109351,20;1104,00;08/2018;Mercado;Dívida Interna
TDAD10H237;01/08/2024;52636,08;532,00;08/2018;Mercado;Dívida Interna
TDAD10I234;01/09/2021;711,34;7,00;08/2018;Mercado;Dívida Interna
TDAD10I235;01/09/2022;711,34;7,00;08/2018;Mercado;Dívida Interna
TDAD11A231;01/01/2019;32497,03;323,00;08/2018;Mercado;Dívida Interna
HCFTEE1232;01/12/2032;76885,96;21048,00;04/2018;Mercado;Dívida Interna
AINSS A014;17/12/2028;4197,68;4,00;04/2018;Mercado;Dívida Interna
AINSS A043;28/03/2032;71958,04;77,00;04/2018;Mercado;Dívida Interna
Global 2024;15/04/2024;3024936588,00;1029030,00;04/2018;Mercado;Dívida Externa
